127.0.0.1 - - [13/Jun/2015:14:29:05 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/bootstrap-3.3.4-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/bootstrap-3.3.4-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/components/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/components/css/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/custom/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/components/css/metisMenu/javascript/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:06 +0530] "GET /Servletchecking/components/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:07 +0530] "GET /Servletchecking/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:29:09 +0530] "POST /Servletchecking/macros HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:45:09 +0530] "POST /Servletchecking/macros HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Jun/2015:14:45:18 +0530] "POST /Servletchecking/macros HTTP/1.1" 200 20
