what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928083395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928087371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928095548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928098969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.savePerspective",1439928098979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928103755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928106117
activated,perspective,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.perspectives.planning",1439928106302
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1439928106336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1439928106356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1439928106356
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1439928114105
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1439928114120
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1439928124732
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1439928127652
activated,perspective,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.perspectives.planning",1439928134127
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1439928136276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.closePerspective",1439928136323
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1439928147469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928164059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928284048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928299765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928424598
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1439928428004
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1439928429307
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1439928429307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928434306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928440471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928441025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928587374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928589179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928603248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928604346
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928606013
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439928606314
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1439928607431
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1439928607438
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1440574783494
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1440574783496
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1440574783498
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1440574783499
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1440574783500
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1440574783501
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1440574783503
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1440574783504
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1440574783505
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1440574783506
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1440574783507
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1440574783509
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1440574783538
